Gd-153,4.10E-09,3.90E-10,2.90E-08,3.00E-05,1.60E-02
Gd-159,2.80E-10,6.10E-10,1.00E-08,1.00E-03,1.60E-02
Ge-66,8.60E-11,6.10E-11,1.08E-07,4.00E-04,1.60E-02
Ge-67,1.90E-11,6.40E-11,4.07E-07,1.00E-03,1.60E-02
Ge-68,1.40E-08,2.90E-10,1.00E-09,1.00E-05,1.60E-02
Ge-69,2.30E-10,1.10E-10,1.32E-07,5.00E-04,1.60E-02
Ge-71,3.30E-11,2.60E-12,1.00E-09,1.00E-05,1.60E-02
Ge-75,2.10E-11,4.30E-11,6.00E-09,1.00E-03,1.60E-02
Ge-77,2.90E-10,1.80E-10,1.63E-07,1.00E-03,1.60E-02
Ge-78,8.00E-11,9.60E-11,4.50E-08,1.00E-03,1.60E-02
H-3,4.00E-11,4.00E-11,1.00E-09,1.00E-06,1.60E-02
Hf-170,3.30E-10,5.90E-10,9.10E-08,2.00E-04,1.60E-02
Hf-172,5.30E-08,1.40E-09,3.00E-08,1.00E-04,1.60E-02
Hf-173,1.30E-10,2.70E-10,7.10E-08,3.00E-04,1.60E-02
Hf-175,1.40E-09,5.50E-10,6.50E-08,2.00E-04,1.60E-02
Hf-177m1,2.60E-11,7.20E-11,3.70E-07,4.00E-03,1.60E-02
Hf-177m2,2.60E-11,7.20E-11,3.70E-07,4.00E-03,1.60E-02
Hf-178m1,4.30E-07,5.30E-09,3.78E-07,2.00E-03,1.60E-02
Hf-178m2,4.30E-07,5.30E-09,3.78E-07,2.00E-03,1.60E-02
Hf-179m1,2.70E-09,1.70E-09,1.49E-07,1.00E-03,1.60E-02
Hf-180m,5.60E-11,1.70E-10,1.66E-07,7.00E-04,1.60E-02
Hf-181,3.40E-09,1.60E-09,8.90E-08,2.00E-03,1.60E-02
Hf-182,5.30E-07,2.90E-09,3.90E-08,5.00E-04,1.60E-02
Hf-182m,1.60E-11,3.60E-11,1.50E-07,1.00E-03,1.60E-02
Hf-183,3.10E-11,7.00E-11,1.16E-07,1.00E-03,1.60E-02
Hf-184,2.20E-10,5.30E-10,4.30E-08,2.00E-03,1.60E-02
Hg-193,4.90E-11,9.10E-11,3.70E-08,8.00E-04,1.60E-02
Hg-193m,2.00E-10,4.40E-10,1.62E-07,1.00E-03,1.60E-02
Hg-194,3.90E-08,5.40E-08,1.00E-09,4.00E-06,1.60E-02
Hg-195,5.30E-11,9.90E-11,3.40E-08,6.00E-05,1.60E-02
Hg-195m,4.50E-10,7.60E-10,3.70E-08,1.00E-03,1.60E-02
Hg-197,2.10E-10,3.20E-10,1.40E-08,2.00E-05,1.60E-02
Hg-197m,3.30E-10,6.20E-10,1.70E-08,3.00E-03,1.60E-02
Hg-199m,1.80E-11,2.80E-11,3.20E-08,2.00E-03,1.60E-02
Hg-203,1.60E-09,1.90E-09,3.90E-08,8.00E-04,1.60E-02
Ho-155,1.20E-11,3.50E-11,6.60E-08,3.00E-04,1.60E-02
Ho-157,1.40E-12,6.30E-12,8.80E-08,3.00E-04,1.60E-02
Ho-159,1.70E-12,7.30E-12,6.90E-08,2.00E-04,1.60E-02
Ho-161,3.90E-12,1.20E-11,2.20E-08,2.00E-05,1.60E-02
Ho-162,6.30E-13,3.20E-12,3.20E-08,7.00E-05,1.60E-02
Ho-162m,6.60E-12,2.20E-11,9.40E-08,3.00E-04,1.60E-02
Ho-164,2.40E-12,9.00E-12,9.00E-09,6.00E-04,1.60E-02
Ho-164m,5.10E-12,1.40E-11,1.40E-08,2.00E-05,1.60E-02
Ho-166,9.30E-10,1.90E-09,5.00E-09,1.00E-03,1.60E-02
Ho-166m,1.40E-07,2.20E-09,2.68E-07,8.00E-04,1.60E-02
Ho-167,2.70E-11,7.80E-11,6.10E-08,1.00E-03,1.60E-02
